1 0 1937 2001
1 28 639 703
1 38 1256 1320
1 20 46 110
1 90 1813 1877
1 40 1 65
1 67 2052 2116
1 82 1090 1154
1 25 999 1063
1 14 1233 1297
1 58 323 387
1 46 1729 1793
1 26 1529 1593
1 61 2021 2085
2 24 153 217
2 21 1940 2004
2 87 746 810
2 19 161 225
2 1 824 888
2 47 1895 1959
2 23 1370 1434
2 73 780 844
2 94 593 657
2 0 1646 1710
2 29 686 750
2 69 266 330
2 20 956 1020
3 28 167 231
3 29 463 527
3 0 95 159
3 36 550 614
3 1 2181 2245
3 73 1291 1355
3 40 360 424
3 99 719 783
3 2 817 881
3 77 1286 1350
3 68 1377 1441
3 93 1141 1205
4 2 1295 1359
4 36 1043 1107
4 37 1581 1645
4 59 1577 1641
4 1 1211 1275
4 3 1159 1223
4 74 1972 2036
4 58 2171 2235
4 45 1871 1935
4 22 989 1053
4 39 1295 1359
5 79 144 208
5 54 883 947
5 14 601 665
5 7 881 945
5 1 658 722
5 4 1646 1710
5 0 2189 2253
5 47 24 88
5 67 1029 1093
5 58 886 950
5 6 1011 1075
5 95 290 354
5 96 971 1035
5 44 2087 2151
5 26 683 747
6 3 954 1018
6 91 962 1026
6 21 1742 1806
6 48 389 453
6 44 1667 1731
6 47 1863 1927
6 72 757 821
6 15 1922 1986
6 96 1721 1785
6 40 229 293
6 88 951 1015
6 0 771 835
6 1 1192 1256
6 20 496 560
6 41 790 854
6 59 1974 2038
6 45 2071 2135
6 2 1987 2051
7 5 1060 1124
7 1 2109 2173
7 27 1639 1703
7 3 20 84
7 52 628 692
7 4 1564 1628
7 44 360 424
7 38 1058 1122
7 77 1073 1137
7 67 706 770
7 66 20 84
7 25 1448 1512
7 92 873 937
7 0 795 859
7 32 685 749
8 20 512 576
8 3 670 734
8 4 207 271
8 44 525 589
8 52 716 780
8 2 1273 1337
8 99 1776 1840
8 45 2087 2151
8 1 1456 1520
8 61 962 1026
8 36 1526 1590
8 28 1078 1142
8 87 250 314
8 0 409 473
